text,label
Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,0
"Of course not, I'm... suggesting Geller-Willick-Bunch.",5
"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",3
Knock knock!How are we today? Any nausea?,0
Yeah. Yeah. A little.,0
"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",0
Oh my God.,1
Look at that.,1
I know.,1
Well? Isn't that amazing?,1
What are we supposed to be seeing here?,0
"I dunno, but.. I think it's about to attack the Enterprise.",1
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",1
"Then don't do that, alright?",3
Okay!,0
Monica. Whaddya think?,0
Mm-hmm.,6
Wh- are you welling up?,0
No.,0
"You are, you're welling up.",5
Am not!,3
You're gonna be an aunt.,1
Oh shut up!,1
Hi guys!,1
"Hey, Pheebs! Hi!",1
"Hey. Oh, oh, how'd it go?",1
Ohh. Ouch.,6
"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",0
Since when?,0
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",0
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",3
And everybody knows this?,0
Yeah. Cushions the blow.,0
"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",0
"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",0
"Uh, Ross.",0
"""So how does it feel knowing you're about to die?""",0
"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",4
"Hey, that was really good!",1
Thanks! Let's keep going.,5
"Okay. ""So. Whaddya want from me, Damone, huh?""",0
"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",0
"""Smoke away.""",0
I think this is probably why Damone smokes in his cell alone.,0
What?,2
Relax your hand!,5
Not so much!,5
Whoah!,2
Hey!,5
Hey!,5
"Alright, now try taking a puff.",0
Alright.. okay. No. Give it to me.,0
"No no no, I am not giving you a cigarette.",0
"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",5
"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",5
Y'miss it?,0
"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",2
Hi.. how was the game?,0
Well..,0
WE WON!! Thank you! Yes!,1
Fantastic! I have one question: How is that possible?,1
Alan.,0
"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",1
"I mean, it-it was like, it was like he made us into a team.",6
"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",1
Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,2
What?,0
"..I dunno, a little too Alan?",0
"Well, no. That's impossible. You can never be too Alan.",3
"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",1
I personally could have a gallon of Alan.,1
"Hey, Lizzie.",0
"Hey, Weird Girl.",0
I brought you alphabet soup.,0
Did you pick out the vowels?,0
Saltines?,0
"No, but would you like a thousand dollars and a football phone?",0
"What? Oh my God, there's really money in here.",1
I know.,0
"Weird Girl, what are you doing?",0
"No, I want you to have it. I don't want it.",0
"No, no, I ha-I have to give you something.",0
"Oh, that's fine, no.",0
Would you like my tin-foil hat?,1
"No. 'Cause you need that. No, it's okay, thanks.",0
"Please, let me do something.",0
"Okay, alright, you buy me a soda, and then we're even. Okay?",0
Okay.,0
Okay.,0
A thumb?!,0
Eww!,2
"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",3
"Well, maybe it's a contest, y'know? Like, collect all five?",0
"Does, um, anyone wanna see?",0
Nooo!,2
"Oh, hey, don't do that! Cut it out!",2
It's worse than the thumb!,2
"Hey, this is so unfair!",0
"Oh, why is it unfair?",0
"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",2
...Does the knuckle-cracking bother everybody?,6
"Well, I-I could live without it.",0
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",0
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",1
"Oh, ""you do, do you""?",1
"You know, there's nothing wrong with speaking correctly.",0
"""Indeed there isn't""... I should really get back to work.",0
"Yeah, 'cause otherwise someone might get what they actually ordered.",0
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",3
Did you ever go out with a guy your friends all really like?,0
No.,0
"Okay.. Well, I'm going out with a guy my friends all really like.",4
"Waitwait.. we talking about the coyotes here? All right, a cow got through!",1
"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",2
"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",5
I know.. it's gonna be really hard.,6
"Well, he's a big boy, he'll get over it.",5
"No, he'll be fine. It's the other five I'm worried about.",6
Do you have any respect for your body?,0
Don't you realise what you're-you're doing to yourself?,3
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",3
"Chandler? It's Alan, he wants to speak to you.",0
"Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",1
"God, he's good.",4
If only he were a woman.,6
Yeah.,0
Wow.,1
"I'm, I'm really sorry.",6
"Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",4
Relieved?,0
"Yeah, well, I had a great time with you.. I just can't stand your friends.",3
Remember when we went to Central Park and rented boats?.. That was fun.,4
Yeah. He could row like a viking.,5
Hi.,0
Mmm.,4
So how'd it go?,0
"Oh, y'know..",6
Did he mention us?,2
"You had a rough day, huh.. c'mere.",4
...That's it. I'm getting cigarettes.,5
No no no!,3
"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",2
If you never smoke again I'll give you seven thousand dollars!,5
"Yeah, alright.",0
Alright. Phoebe?,0
"Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!",1
"Yeah, see.. you took mine. Chandler, what about you?",1
"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",1
"See, there's always one guy. ""If I had a wish, I'd wish for three more wishes.""",1
"Hey Joey. Hi. Hey, buddy.",1
"Hey, Joey, what would you do if you were omnipotent?",0
Probably kill myself!,0
..Excuse me?,0
"Hey, if Little Joey's dead, then I got no reason to live!",6
"Joey, uh- OMnipotent.",0
"You are? Ross, I'm sorry..",6
...Poulet passes it up to Leetch!,1
Leetch spots Messier in the crease- there's the pass!,1
We'll take a brief time out while Messier stops to look at some women's shoes.,0
What?,0
Peach pit.,0
"Yes, Bunny?",1
"Peach pit. That night we, uh- we had-",0
Peaches?,1
"Actually, nectarines, but basically...",1
Could've been a peach.,1
"Then, uh, then we got dressed, and I-I... I walked her to the- -the bus stop... I'm fine.",0
"Hey, that woman's got an ass like Carol's! What? Thought we were trying to find stuff.",1
"So c'mon, you guys, tell me all the dirt!",1
"Well, the biggest news is still you dumping Barry at the altar!",1
Alright. Let's talk reality for a second.,0
Okay.,0
When are you coming home?,0
"What? Guys, I'm not.",3
"C'mon, this is us.",0
Waitressing?,0
Well. Your mom didn't tell us about the blobbies.,0
"Hey, Rach. How was it with your friends? Okay! How would you like some Tiki Death Punch?",1
What's that?,0
"Weeeell, it's rum, and-",0
Okay.,0
"Ooh! Ooh! And I brought Operation! But, um, I lost the tweezers, so we can't operate. But we can prep the guy!",1
"Uh, Rach, it's the Visa card people.",0
"Oh, God, ask them what they want.",2
"Could you please tell me what this is in reference to? Yes, hold on. Um, they say there's been some unusual activity on your account.",0
But I haven't used my card in weeks!,2
"Uh- Rachel has left the building, can you call back?",0
"Alright, c'mon! Let's play Twister!",6
You should feel great about yourself! You're doing this amazing independence thing!,1
"Monica, what is so amazing? I gave up, like, everything. And for what?",6
You are just like Jack.,0
...Jack from downstairs?,0
"No, Jack and the Beanstalk.",0
"Ah, the other Jack.",0
"Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..",1
"Okay, but Pheebs, Pheebs, Jack gave up a cow, I gave up an orthodontist. Okay, I-I-I know, I know I didn't love him-",0
"Oh, see, Jack did love the cow.",0
"But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...",0
Floopy?,0
Yeah.,0
"Oh, like that's a word.",0
"Okay, but Monica, what if- what if it doesn't come together?",2
...Pheebs?,0
"Oh, well... 'cause.... you just... I don't like this question.",0
"Okay, see, see, you guys, what if we don't get magic beans? I mean, what if all we've got are.. beans?",0
"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!",3
"See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.",0
Pass it! Pass it!,5
He's open!,1
Shoot! Shoot! Shoot!,1
"Hey, look, we're on that TV thing!",1
'Scuse me.,0
"It says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied.",3
"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room.",3
"Hold on. Fill these out, sit over there.",3
"Look, I don't wanna make any trouble, okay, but I'm in a lot of pain here, alright? My face is dented.",3
"Well, you'll have to wait your turn.",3
"Well, how long do you think it'll be?",0
Any minute now.,3
"Hey, this- Heyy...",3
Light still out?,0
Yeah.,0
Oh. Maybe they're- napping.,0
"Oh please, they're having sex.",1
Shut up!,3
"So, whaddya think George is like?",0
I think he's shy.,0
Yeah?,0
"Look, it's just a little more complicated...",2
"Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?",1
"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",3
Then what?,0
My first time with Carol was...,2
What?,0
It was my first time.,6
With Carol? Oh.,0
"So in your whole life, you've only been with one oh.",0
"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!",1
"Okay. Okay, I got one. Do you remember that vegetarian pate that I made that you loved so much?",1
Uh-huh.,0
"Well, unless goose is a vegetable...ha haaaah!",1
"Oh! Oh! Oh! Okay, fine, fine. Now I don't feel so bad about sleeping with Jason Hurley.",3
What?! You slept with Jason?,3
You'd already broken up.,0
How long?,0
A couple hours.,0
"Oh, that's nice!",3
"Okay, okay, okay, I got one! Anyway- The valentine Tommy Rollerson left in your locker was really from me.",5
Excuse me?!,3
Hello? Like he was really gonna send you one? She was a big girl.,1
"Really. Well, at least 'big girls' don't pee in their pants in seventh grade!",3
I was laughing! You made me laugh!,3
There he is! There he is!,1
Where?,0
He is so cute!,1
"Oh, George, baby, drop the towel!",1
Man. Can you believe he's only had sex with one woman?,1
"I think it's great. Y'know, it's sweet, it's romantic...",0
Really?,2
"No, you kidding? The guy's a freak..",5
"Hey, buddy.",0
Hi.,3
"Oh, that's attractive.",1
"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.",1
"Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?",3
"Oh, ah- the kid has it.",0
"The kid...? Excuse me, uh, that's, that's my puck.",3
"I found it. Finders keepers, losers weepers.",5
"You gotta do it, man.",5
"Oh yeah? Well, I'm rubber, you're glue, whatever can't do it. Listen, uh- gimme back my puck.",5
No.,5
"'Yes', how about. C'mere. Gimme!",3
No! No!,3
Hey! Hey! No rough holding in my ER!,3
GIVE ME MY PUCK!!,3
...Now that was fun.,1
"Okay, Monica: Right foot red.",1
"Could've played Monopoly, but nooooo.",1
Thanks.,0
"Okay, Pheebs: Right hand blue. Good.",1
"Hello? Oh, uh, Rachel, it's the Visa card people.",0
"Oh, okay. Will you take my place?",0
"Alright. Yes, this is Rachel.",0
"Nooo! Hello? Oh, yeah, no, I know, I-I haven't been using it much. Oh, well, thanks, but, I'm okay, really.",0
Green. To the green.,0
I've got magic beans. Never-never mind.,0
"To the left, to the left- aww!",1
Ohhh... I'm fine.,0
Would you let it go? It's not that big a deal.,3
Come on! You guys can pee standing up.,3
"We can? All right, I'm tryin' that.",4
"Oh, ok, you know what I don't get? The way guys can do so many mean things, and then not even care.",3
Multiple orgasms!,0
"Monica, I'm tellin' you, this guy is perfect for you.",1
Forget it. Not after your cousin who could belch the alphabet.,3
"Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is...",1
"Oh, god help us.",2
What?,0
Ugly Naked Guy's laying kitchen tile. Eww!,3
"Eww! Look, I'm asking a favor here. If I do this for her brother, maybe Angela will come back to me.",6
What's going on here? You go out with tons of girls.,0
"I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please?",6
"Ok, bye. Well, Monica's not coming, it's just gonna be me and Rachel.",0
"Oh. Well, hold on camper, are you sure you've thought this thing through?",0
It's laundry. The thinking through is minimal.,0
"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",1
Nuh-uh.,0
Yuh-huh.,0
"So what're you saying here? I should shave again, pick up some wine, what?",2
No.,0
"Oh, and uh, the fabric softener?",0
"Ok, ok, now what is wrong with my Snuggles? What, it says I'm a sensitive, warm kinda guy, you know, like a warm, fuzzy bear. Ok, I can pick something else up on the way.",4
There you go.,4
Thank you. So what does this Bob guy look like? Is he tall? Short?,1
Yep.,0
Which?,0
Which what?,0
"You've never met Bob, have you?",3
"No, but he's...",0
"Hey, Joey.",0
...horribly attractive. I'll be shutting up now.,6
Where are they? Where are they?,2
This is nice. We never do anything just the two of us.,1
It's great. Maybe tomorrow we can rent a car and run over some puppies.,1
"Eww, I don't wanna do that.",3
Here we go.,0
"Ok, have a good break-up.",0
"Hey, Janice.",0
"Hey, that's not good. Can I get an espresso and a latte over here, please?",0
What?,0
What?,0
What... did you get me there?,0
I got you...these.,0
Bullwinkle socks. That's so sweet.,1
That's great.,1
"No, no, I'm still working on mine.",0
That's it?,0
"Yeah, it was really hard.",0
"Oh, yeah, that hug looked pretty brutal.",0
"Ok, you weren't there.",0
"He is so cute. So, where did you guys grow up?",1
Brooklyn Heights.,0
Cleveland.,0
"How, how did that happen?",0
Oh my god.,2
What?,0
I suddenly had the feeling that I was falling. But I'm not.,2
"So, you and Angela, huh?",1
Yep. Pretty much.,1
"You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel.",1
"Huh, I never really noticed.",0
"Oh, yeah, yeah, listen for it.",1
"Monica, Monica is great.",1
"Yeah, but it's not gonna last. She's too much for me in bed. Sexually.",1
"I've gotta tell you, Bob is terrific.",1
"Yeah, isn't he?",0
You know what else? He's unbelievable in bed.,1
Wow. My brother never even told me when he lost his virginity.,1
Huh. That's nice.,0
"Ok, I know this is gonna sound really stupid, but I feel that if I can do this, you know, if I can actually do my own laundry, there isn't anything I can't do.",5
"That does not sound stupid to me. You know, it's like the first time I had to make dinner for myself, after Carol left me? I'm sorry, that's all the time we have. Next on Ross... Uh-oh.",2
What uh-oh?,2
"Uh-oh, uh-oh, the laundry's done. It's, uh, it's a song. The laundry song that we sing. Uh-oh the laundry's done, uh-oh, uh-oh.",2
"Ross, what's the matter?",2
"Nothing, nothing. Lee-lo, the laundry's done.",3
"Come on, show me.",2
"Oh, everything's pink.",6
"Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!",6
Oh my god.,2
What?,0
Hello! Were we at the same table? It's like... cocktails in Appalachia.,0
"Come on, they're close.",0
Close? She's got her tongue in his ear.,5
"Oh, like you've never gotten a little rambunctious with Ross.",4
"Joey, this is sick, it's disgusting, it's, it'snot really true, is it?",6
"Well, who's to say what's true? I mean...",0
"Oh my god, what were you thinking?",3
"All right, look, I'm not proud of this, ok? Well, maybe I am a little.",0
Oh!,0
Ow!,1
I'm outta here.,0
Really?,0
"Yeah. I'm thinking, if we put our heads together, between the two of us, we can break them up.",4
"I'm so sorry, I can't believe I did this, but I couldn't stop laughing at your Norman Mailer story.",2
"Uh, waiter, one more plate of chicken wings over here.",0
Ow!,6
"Oh, my god, I'm so sorry. Are you ok?",2
"Ow. Um, it's just my lens. It's just my lens. I'll be right back.",3
I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.,1
Oh my god. How many of those have you had?,2
"Oh, I don't know, a million?",2
I'm fine.,0
All right.,0
I'm not fine. Here she comes.,2
Wait here. Breathe.,0
How do you do that?,2
It's like a gift.,1
We should always always break up together.,1
"Oh, I'd like that.",1
You got the clothes clean. Now that's the important part.,0
"Oh, I guess. Except everything looks like jammies now.",0
"Whoa, I'm sorry. Excuse me. We had this cart.",3
"Yeah, well, I had a 24-inch waist. You lose things. Now come on, get outta my way.",3
"I'm sorry, you know, maybe I wasn't being clear. Uh, this is our cart.",3
"Hey, hey, hey there aren't any clothes in it.",3
"Hey, hey, hey, hey, quit making up rules!",3
Let go!,3
"All right, listen, missy. If you want this cart, you're gonna have to take me with it!",3
Yes! Did you see that?,1
"You were incredible! Brand new woman, ladies and gentlemen.",1
I could not have done this without you.,1
"Ok, um, uh, more clothes in the dryer? I'm fine, I'm fine.",4
Are you sure?,0
No.,3
"Oh, are you sure you're ok?",0
Yeah.,0
Does it still hurt?,2
Yeah.,1
Hi.,0
"Hey, how'd it go?",0
Excellent.,1
"We ripped that couple apart, and kept the pieces for ourselves.",0
"What a beautiful story. Hey, I'm fine by the way.",3
"Oh, I'm sorry.",6
Where's Chandler?,0
"Oh, he needed some time to grieve.",0
I'm free! I'm free!,1
That oughta do it.,0
"Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting!",1
"The exclamation point in the title scares me. Y'know, it's not just Freud, it's Freud!",1
"Oh, shhh, shh. Magic is about to happen.",4
"All you want is a dingle, What you envy's a schwang, A thing through which you can tinkle, Or play with, or simply let hang...",1
"Alright, alright, alright...",0
Here. I need to borrow some moisturizer.,0
For what?,0
Whaddya think? Today's the big day!,1
"Oh my God. Okay, go into the bathroom, use whatever you want, just don't ever tell me what you did in there.",2
Thank you!,1
Where's Joey? His mom's on the phone.,0
He's in the bathroom. I don't think you wanna go in there!,1
"C'mon, we're roommates! My eyes!! My eyes!!",2
I warned you...,0
Who is being loud?,3
"Oh, you got the whole night, huh?",0
"Yeah, well, I only have twenty minutes until Ethan, so, y'know..",0
"Ooh, do I sense a little bit of resentment?",0
"...Dammit, hire the girl! Okay, everybody ready?",5
"Uh, listen, I just wanna thank you for this great opportunity.",2
Lose the robe.,5
Me?,2
That would work.,5
Right. Okay. Losing the robe. And the robe is lost.,2
"Okay, everybody, we'd like to get this in one take, please. Let's roll it.. water's working .. and... action.",5
"And cut. Hey, Butt Guy, what the hell are you doing?",3
"Well, I'm- I'm showering.",2
"No, that was clenching.",3
"I think his butt would like to get this shot before lunch. Once again, rolling... water working... and action....and cut. What was that?",3
I was going for quiet desperation. But if you have to ask...,3
"Wow, this is so cool, you guys. The entire city is blacked out!",1
"Wow, you guys, this is big.",1
Can I borrow the phone? I want to call my apartment and check on my grandma. What's my number?,2
"Well, I never call me.",0
"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",1
"Hi Mom, it's Jill.",0
"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!",2
"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.",0
Jill says vestibule... I'm going with vestibule.,0
"I'm fine. No, I'm not alone... I don't know, some guy.",0
"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.",1
Hi everyone.,0
"And officiating at tonight's blackout, is Rabbi Tribbiani.",0
"Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone.",1
"Eww, look. Ugly Naked Guy lit a bunch of candles.",3
That had to hurt!,6
There you go!,1
You're definitely scaring here.,2
Would you like to call somebody?,1
"Yeah, about 300 guys I went to high school with. Yeah, thanks.",1
Hello?,0
"Hey, it's me.",0
It's Chandler! Are you OK?,2
"Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr.",6
What?,2
I'm trppd... in an ATM vstbl... wth Jll Gdcr!,2
I have no idea what you just said.,2
Put Joey on the phone.,3
What's up man?,0
I'm trppd... in an ATM vstbl... wth JLL GDCR.,2
"Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen.",1
"Yeah, like that thought never entered my mind.",4
Hmmm... this is so nice.,1
"OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment.",1
OK.,0
"OK. Here goes. For a while now, I've been wanting to, um....",0
Ohhh!!!!,1
"Yes, yes, that's right...",0
"Oh, look at the little cat!",4
What? Ow!,2
"I'm on top of the world, looking down on creation and the only explanation I can find, is the wonders I've found ever since...",5
This is just Bactine. It won't hurt.,4
"Sorry, that was wax.",0
"Oh, poor little Tooty is scared to death. We should find his owner.",2
Why don't we just put 'poor little Tooty' out in the hall?,0
During a blackout? He'd get trampled!,2
Yeah?,0
"Oh no, the Mendels, they hate all living things, right?",2
Oh. Hi. We just found this cat and we're looking for the owner.,5
"Er, yeah, it's mine.",3
He seems to hate you. Are you sure?,3
"Yeah, it's my cat. Give me my cat.",3
Wait a minute. What's his name?,3
Ehhhh... B-Buttons.,2
Bob Buttons?,5
"Mmm. Bob Buttons. Here, Bob Buttons.",4
Oooh! You are a very bad man!,3
You owe me a cat.,3
Lucky sixes....,1
"Everybody, this is Paolo. Paolo, I want you to meet my friends. This is Monica.",1
Hi!,1
And Joey....,1
Hi!,1
And Ross.,1
Hi!,1
He doesn't speak much English.,0
Monopoly!,1
Look at that!,1
"So, um... where did Paolo come from?",1
"Oh... Italy, I think.",1
"No, I mean tonight, in the building. Suddenly. Into our lives.",1
"That, that is funny... .... and Rachel keeps touching him.",1
Alright. I looked all over the building and I couldn't find the kitty anywhere.,5
"Oh, I found him. He was Paolo's cat.",0
Ah! Well! There you go! Last to know again! And I'm guessing... since nobody told me... this is Paolo.,0
"Ah, Paolo, this is Phoebe.",0
You betcha!,1
"Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go.",4
"Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth.",1
"Good save! We're back on track, and I'm... ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking.",2
Are you alright?,2
"My God, you're choking! That better?",5
Yes... thank you. That was... that was....,0
Perfection?,0
Thank you.,0
Thanks.,1
Kinda... spooky without any lights.,2
Bwah-hah-hah!,1
"OK, guys, guys? I have the definitive one. Mwwwooooo-hah-hah...",1
Oh.. oh... oh.,1
"Hey Ross. This probably isn't the best time to bring it up, but you have to throw a party for Monica.",1
Dehydrated Japanese noodles under fluorescent lights... does it get better than this?,1
"Question. You're not dating anybody, are you, because I met somebody who would be perfect for you.",1
"Ah, y'see, perfect might be a problem. Had you said 'co-dependent', or 'self-destructive'...",6
Do you want a date Saturday?,5
Yes please.,1
"Okay. He's cute, he's funny, he's-",4
He's a he?,3
You did?,0
"Yeah, but then you spent Phoebe's entire birthday party talking to my breasts, so then I figured maybe not.",3
"Huh. Did, uh... any of the rest of you guys think that when you first met me?",0
I did.,0
"Yeah, I think so, yeah.",0
Not me.,0
"Nono, me neither. Although, uh, y'know, back in college, Susan Sallidor did.",2
You're kidding! Did you tell her I wasn't?,0
"Well, this is fascinating. So, uh, what is it about me?",0
"I dunno, 'cause you're smart, you're funny...",4
"Ross is smart and funny, d'you ever think that about him?",0
Yeah! Right!,0
WHAT IS IT?!,3
"Okay, I-I d'know, you-you just- you have a quality.",0
Yes. Absolutely. A quality.,4
