label,text
neu,Okay.
neu,Okay.
neu,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.
neu,Okay.
neu,all right- okay.  And you lost your bag? Is that- that the issue?
neu,Uh-huh.
neu,"Yeah. Yeah, I don't see- I don't see any--"
neu,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-"
neu,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again..."
neu,"for such an inconvenience and your bag, but"
neu,Yeah.
neu,"No, no."
neu,"No, no.  This is real."
neu,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because..."
neu,this is the only track record that we have and if it's not listed here then it's probably not anywhere.
neu,Yes.
neu,I know.
neu,Okay. Calm-
neu,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really"
neu,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that."
neu,It's a gift.
neu,"You know, the airlines can not be held responsible for every bag of luggage that comes through here."
neu,With the amount of--
neu,"Um, actually, I don't know. I don't know. Oh really?"
neu,Well then maybe you can just call him and he can give you more money.  But right now all I can do--
neu,"Right now all I can do is just give you this fifty dollars, I'm really sorry."
neu,Oh.  My name is Sean. Hi.
neu,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--"
neu,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more..."
sad,No.
neu,That's sweet.
neu,Thank you.
sad,I went to see her headstone a week or two ago.
sad,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city."
sad,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.
sad,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-
neu,"this woman came up and, you know, it was hers. It was her person that was there."
sad,"Yeah.  And she was like, that's pathetic, I hope you enjoy it."
sad,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly."
sad,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever."
sad,I don't know.
sad,At the cemetery?
sad,couple hours.
neu,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers."
neu,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.
neu,Yeah.
sad,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors."
sad,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her."
sad,She used to have these poetry parties on Memorial Day.
sad,Umm. Yeah.
sad,"And the last time before she died, I remember she couldn't really stand, umm..."
sad,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool."
sad,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-"
neu,"There's another one, I can't remember."
sad,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?"
sad,"I'm sorry, Joy."
neu,Is there anything I can get you?  Do you want me to take care of anything for you or...?
neu,...pick up anything?
sad,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.
neu,Hmm.
neu,Oh.  She was there?
neu,Mmhmm.
sad,Yeah.
neu,How long were you there for?
neu,Mmhmm.
neu,Oh really?
neu,You ran through the sprinklers in the cemetery?
neu,Is it a big cemetery?
neu,"Oh, so they're like really old too, really old ones?"
neu,Mmhmm.
neu,Mmhmm.
neu,So she wrote a lot of poetry?
exc,"Yes.  There's a big envelope it says, you're in. I know."
exc,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that."
exc,"Oh- I know, I know, I know, I know."
exc,"I don't know.  I spend so much time commuting as it is, I'd rather."
exc,I know. We should throw a party.
exc,Yeah.  I'm not sure.
exc,Umm...P.h.D. [LAUGHTER]
exc,So I get to mold young minds. Mrs.?  That's my mother.
exc,"I would be like- Oh. Right, right, right."
exc,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah."
exc,Did you get the letter?
exc,Yeah. That is so awesome.
exc,Oh my God. What are you going to do? [LAUGHTER]
exc,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly."
exc,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?"
exc,This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.
exc,A rapper party ho. Yeah. Okay.
exc,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo."
exc,Yeah.  Big time.
exc,Mmhmm. Mmhmm. Yay. So what major?  What are you doing?
neu,Is this a Masters or a P.h.D.?  Or can you...? Nice
neu,"That's good.  Don't you have to like teach a class, too, when you do that?"
exc,"Teacher. Mrs. Nash, I have a question."
exc,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.
exc,Yay...School's fun.
neu,"Of course, right.  That's where the real money is, being a student."
hap,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.
fru,What's he going to say?
neu,"He's dreaming of him again, walking around."
fru,What do you want to do?  Argue with him?
fru,You can't say that to him.
fru,Where's the proof?  Do you have any proof?
fru,"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?"
fru,Why?
neu,"Well I got an idea, but what's your story?"
fru,"From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl."
fru,"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go."
fru,"You're a considerate fellow, there's nothing wrong in that."
fru,I just don't see why.  Have you asked Annie yet?
fru,Well how do you know she's going to marry you?  Maybe she feels the same way your father does.
fru,The trouble is you don't see enough women.  You never did.
fru,Why does it have to be Annie?
fru,Oh that's a great reason.  It's no reason at all.
fru,"You haven't seen her since you went away to war, it's been five years."
fru,I don't want a diagram.
fru,He thinks he's coming back Chris.
fru,"You marry that girl, you are pronouncing him dead..."
fru,...and then what's that going to do to your father?  Do you know?  I don't.
neu,Just give it some more thought.
ang,What the hell is this?
ang,You have a business here.  What the hell is this?
ang,Oh.  Must you be inspired?
fru,You mean to tell me that you would leave the business over this?
fru,Well you don't want to think like that.
ang,"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you."
ang,Just don't think like that.
fru,"I don't understand you, do I?"
fru,I can see that.
neu,He saw it.
neu,He was out here when it broke.
neu,Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.
neu,I don't know.
neu,I guess he is.
fru,"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father."
neu,You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?
fru,I don't want to argue but it's time he realized that nobody believes Larry is alive.
fru,"You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?"
neu,We've got to say it to him.
fru,"For God's sake, three years?  Nobody comes back after three years; that's insane."
neu,"Sit down, Mom.  I want to talk to you."
fru,"All right, all right, all right.  You know why I asked Annie here, right?"
neu,You know.
neu,I'm going to ask her to marry me.
neu,You know it's not just my business.
neu,"So all right then, I'll just go ahead with it?"
fru,Then it's not just my business.
ang,"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things."
fru,She's not Larry's girl.
fru,"I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time."
fru,To hell with that.
neu,I wanted to get this settled first.
neu,"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him."
neu,And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.
fru,So what.  I'm not fast with women.
fru,Because it is.
fru,I don't know.
fru,"I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie."
fru,"Mom, what do you want?  A diagram?"
fru,"All right, then, Mom. [BREATHING]"
fru,"I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy."
fru,"But if I can't do that here, I may have to go somewhere else."
neu,"I'll get out.  I'll get married and I'll move somewhere else, maybe New York."
fru,"I've been a good son for too long, a good sucker."
fru,The business?  The business doesn't inspire me.
fru,"Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy."
fru,"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it."
neu,"On this, I would."
neu,Then help me stay here.
fru,I know that.  Then just help me stay here.
fru,Well I am thinking like that.
fru,No.  You don't.  I'm a pretty tough guy.
ang,He's not going to marry her.
ang,It's got that about it.
ang,"What is going on here, Joe?"
ang,She is not his girl.  She knows she's not.
ang,"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited."
ang,"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right."
ang,"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother."
ang,"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here."
ang,I won't stand for any nonsense.
ang,"Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look."
ang,"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe."
fru,I can't help it.
neu,Well maybe...maybe he just wanted to see her.
fru,[BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you.
neu,How do you know he's even thinking about it?
fru,Now listen.
fru,You can't read her mind.
neu,How do you know why she waited?
fru,"Hey look, it's a nice day, huh?  Why are we arguing?"
fru,What do you want me to do? What do you want?
fru,Kate.
fru,[BREATHING]
fru,Calm yourself.
fru,Okay. Calm yourself.
fru,"I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?"
ang,"What have I got to hide?  What the hell is the matter with you, Kate?"
neu,You're the only one who still loves his parents.
neu,It's not so bad; it's a good thing.
neu,"[BREATHING] You know, it's lovely here.  The air is sweet."
neu,"I'm not sorry, no. But I'm...I can't stay."
neu,"For one thing, your mother much as told me to go."
neu,"And then, you.  You've been kind of..."
neu,Sort of embarrassed ever since I got here.
neu,I knew they would.
neu,"Well sure, from your mother's point of view.  Why else would I come?"
neu,"I, umm. I guess, I guess that's kind of why I came."
hap,[BREATHING]
hap,[LAUGHTER]
hap,[LAUGHTER]
hap,No. No
neu,"Chris, I've been ready a long, long, time."
neu,I almost got married two years ago.
neu,You started to write me.
hap,Every day since.
hap,beating around the bush.
hap,"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me."
hap,Not like that you're not.
neu,"Like Larry's brother.  Do it like you, Chris."
neu,"Yeah, sure."
neu,How many?
sad,"Aw, geez."
neu,Mmhmm.
hap,What would I do with a fortune?
neu,"I know.  It kind of went out of style, didn't it?"
neu,You're not sorry you came.
neu,Well.
neu,What?
neu,Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.
hap,"I love you. Annie, I love you."
hap,"I don't really have any imagination, that's all I know how to say."
hap,"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us."
hap,Why didn't you let me know?
hap,Give me a...
hap,Give me a kiss.
hap,"Oh Annie, we are going to live now.  I am going to make you so happy."
hap,I kissed you.
sad,"Hey, let's drive some place.  Huh?  Let's get out of here."
sad,No it's nothing like that. It's-
sad,Yeah.  I suppose I have been. But it's going from me.
sad,I don't even know how to start.
sad,"It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?"
sad,Well I lost them.
sad,Pretty much all.
sad,You can't just toss off a thing like that because they weren't just men. You know?
sad,"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had."
sad,"They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today."
sad,"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them."
sad,"But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work."
sad,And I didn't want any of it. I guess that included you.
neu,I just want you to know Annie.
neu,Fine.
fru,[BREATHING]
neu,That's not your flashlight.
ang,You keep saying my flashlight like it's just yours.
ang,How's that supposed to make me feel?
neu,Yeah.
hap,[LAUGHTER]
sad,I'm cold.
fru,"Well, then let's go."
neu,Not particularly.
fru,"Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die."
fru,Oh Augie
fru,Yeah.
fru,Hmm.  We didn't see them the year before either.
neu,That's the wind.
neu,About what?
exc,"Okay.  Is that, is that--"
neu,"The flashlight, the silver one.  There's only one, isn't there?"
neu,Whose is it?
neu,"Oh...well. Yeah, of course."
neu,No.
neu,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight."
fru,"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though."
neu,Do they always run during a full moon?  I don't remember.  Was it full last year?
neu,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket."
neu,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?"
exc,"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up."
fru,Do you want my jacket?
neu,Right.
neu,"Wait, that's my point, too."
fru,"No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?"
neu,Why not?
neu,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up."
neu,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.
neu,This is a big night for these little guys.  It's like life's last orgy.
fru,Yeah they do.
neu,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested."
neu,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?"
neu,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car."
neu,Ahh...we weren't in a good spot.
neu,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things."
exc,"Look there, see?  What's that?  No, that's - that's just seaweed."
hap,"God, this is great.  Think about this.  I know you are not interested, but just think about this."
exc,"Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming."
exc,It's single mindedness with no mind.  It is urgency that is just pure urge.
hap,So what do you think?
hap,"About all of that, about all I was talking about."
neu,That's the wind.
neu,About what?
ang,"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting."
fru,We just have different ideas of what this night is supposed to look like.
ang,"For God- Grow up, Augie.  The fish are not going to arrive."
ang,Because they never do.  Have they...Have they ever?
ang,Twice is every time we have tried; that's ever.
fru,I feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up.  And the fish never show up.
fru,You don't understand anything I am saying.
sad,"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is."
ang,"For God's sake, this is not about fish."
neu,Do you remember the first year we came here?  It was like four years after we got married.
hap,"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be."
fru,dancing barefoot in the sand.
sad,I'd rather not remember some things.  I'd rather not hope for some things.
neu,No.
fru,"No, no. Nothing."
neu,No.
fru,No.
fru,[BREATHING]
fru,This? What is this?  This is nothing.  This isn't even anything.
fru,"I mean this is a lot of things, but it's just..."
fru,Do you understand what I am saying?
sad,"I know you are Augie, I know."
sad,"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else."
sad,I didn't say that.
sad,"You're the one who probably wishes he was with somebody else.  Somebody who doesn't take things so seriously, who could enjoy herself."
neu,"So maybe we are in the wrong spot, but we are with the right person."
hap,"Hmm.  I noticed that, it's pretty. Big old white moon."
hap,"Augie, you bought refreshments."
hap,I guess we don't need glasses.
hap,I'm beginning to think this might be the right spot after all.
sad,"Augie, I'm sorry."
neu,Or not.
exc,"Look at this, all of the hairs are standing up on my arm."
exc,"Well, so, what do you think?"
neu,About what I was saying.
fru,"Not just me, look at all of these people."
neu,"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?"
fru,"Well then, what's bugging you?"
fru,"There is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing.  We go ooh, ah, look at the fish and we go home."
fru,Why not?
fru,We've missed them twice.
fru,They'll show up this time.
fru,No. Of course not.
fru,"It's just fish, it's nothing to get traumatized over."
fru,Okay.  I'm trying to work this backwards and pinpoint the exact moment where we took a turn for the worst here.
neu,"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go."
neu,"Okay.  So I am putting out the pets, getting the car out of the garage."
neu,"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that."
fru,"That's what it is?  Right?  You want this to be like the other time, right?"
neu,Sure.  All right.  Okay.
neu,"Listen, do you want to dance?"
neu,Do you want me to go get some champagne?
hap,Do you want to take off your shoes?
hap,Do you want to get married again?
fru,"No I'm just like you.  I thought it was going to be all roses and peaches and the bills would just pay themselves.  And we'll have three, fat rosy cheeked children.  Huh, baby, the joke's on us.  Because you know what you get?"
fru,Do you know what you get?  You get this.
neu,Yes it is.
fru,[BREATHING]
fru,I'm doing the best I can.
sad,"Maybe if you were with someone else, too."
sad,I just- I know I don't make you happy.
neu,"You know, actually now that you mention it, no I don't."
fru,"I don't know, it seemed like such a good spot to me."
neu,"We have a great view of the moon from here, though, huh?"
neu,[BREATHING]
hap,And look what I got here.
hap,[BREATHING]
neu,Do you want to go home?  Are you cold?
neu,"Shh.  If we're very quiet, the fish might come."
hap,Or not.
hap,[LAUGHTER] That sent shivers up my spine.
exc,We'll behave exquisitely.
exc,I think I shall do a curtsy.
hap,Yes.  Meaning just that.
hap,Don't laugh at me.  I'm being serious.
exc,Who's they?
hap,[LAUGHTER]
hap,"Oh Elliott, worms don't pop."
hap,"Aw.  Thank you, darling.  The same applies to you too, except that if you so much as look at another woman I'll kill you."
exc,"Oh Charles, that was his name.  He did wiggle so beautifully."
hap,"The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER]  How utterly, utterly ridiculous."
hap,[LAUGHTER] And very much sillier.
exc,I don't care then.
hap,No.  Wrong number. [LAUGHTER]
hap,What shall we do if they suddenly walk in on us.[LAUGHTER]
hap,With perfect poise.
hap,"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?"
hap,"Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean?"
hap,Who knows?
exc,Yes.  Yes with all of his might.
exc,"Let's be superficial, and just pity those poor philosophers, huh?  Let's blow trumpets and squeakers and enjoy the party for as long as we can, you know, like small, idiotic school children."
