Sr No.,text,label
118,"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!",3
119,Fine. You'll-you'll watch it on video when we get back.,0
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,1
121,Thank you.,0
122,Thank you.,0
123,"All right, let's go! Bye, Pheebs!",1
124,"Bye, Pheebs!",1
125,London baby!!,1
126,"Oh, do you need a hug? You don't have to bring me anything!",1
127,Hey!,0
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,1
129,"That's great, but shouldn't you be on the toilet right now?",5
130,What?!,2
131,What's wrong with you?,5
132,Nothing!,0
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.",6
134,"But um, I don't think it's anything serious.",0
135,This sounds like a hernia. You have to....you-you go to the doctor!,2
136,"No way! ‘Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!",6
137,That's a hernia.,5
138,Why did I have to start working out again?  Damn you 15s!,3
139,I love your place! Where is this guy from?,1
140,Uh that's an eighteenth century Indian artifact from Calcutta.,0
141,"Oh wow! So, you're more than just dinosaurs.",2
142,So much more.,0
143,"Well, well to sum up, we're having fun, you look young.",0
144,Okay,0
145,But that's not enough. So… So…here's a key to my apartment.,0
146,Really?!,2
147,Really.,0
148,You don't think this is too fast.,0
149,Get Out!,3
150,"Ross, can I talk to you for a minute?",0
151,"Yes, please!  So, what's going on?",0
152,"Uh, well... Joey and I broke up.",4
153,"Oh my God, wh-what happened?",2
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",4
155,I knew that was him!,3
156,"Anyway I just, uh, I think it's for the best.",4
157,"Hey, you ok?",0
158,I guess.,4
159,There was hum...  there was another reason that I thought it was time to end it with Joey.,0
160,I started to realize that I was having feelings for someone  else.,0
161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",0
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",0
163,"Yeah, can you guys just throw him in the pool later?",0
164,Or we could throw you both in,1
165,"Ok, gentlemen!",3
166,Please!,3
167,Aren't we a little old for this?,3
168,"I mean, we're scientists, right?",0
169,We're academics.,3
170,And most importantly I... you-you will have to catch us first.,1
172,"GO, GO, GO!",1
173,"Go, go, go!",1
174,"Oh yeah, now everybody wants to be under this hat!",1
175,Oy!!,5
176,What's with all this sand?,2
177,"Oh, yeah, Bob said there might be flood damage.",0
178,"Yeah, either that, or he has a really big cat.",0
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",3
180,"Oh umm, my big scene is coming up. Big scene coming up.",1
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",0
182,Rach? What are you doing?,0
183,"Oh boy, I just can't watch. It's too scary!",6
184,It's a diaper commercial.,0
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",6
186,Pizza delivery!,1
187,I'll get it! I will get that!,1
188,Hi!,1
189,Hi!,1
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",0
191,"Uhh, the ball thing.",0
192,Yeah?,0
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",1
194,"Uhh,",0
195,Okay!,1
196,Uh-oh.,6
197,What?,0
198,I have to pee. And Rachel's in the bathroom!,4
199,"Man, I didn't think we were gonna make it!",2
200,"I know!  Don't switch hands, okay?",6
201,Hey.,0
202,Hey!,0
203,How did it go with Erin?,0
204,"Oh, unbelievable! We had the best time!",1
205,"Yay!! Oh so, you're not, you're not mad at us anymore?",1
206,No!,1
207,No!,1
208,No!,1
209,You guys were totally right!,1
210,This is so much better than the first time we went out.,1
211,Y'know?,0
212,"That was so awkward, we were really nervous.",0
213,Didn't you sleep together?,0
214,"Yeah, that really calms me down.",0
215,And!,1
216,We have so much in common!,1
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a",1
218,"Oh my God! Listen to you talkin' about having kids. Oh my Joey.  Oh, please don't get married before I do.",2
219,Okay.,0
220,How does she do that?,2
221,I cannot sleep in a public place.,0
222,Would you look at her? She is so peaceful.,1
223,Oh! What what what! ...Hi.,2
224,"It's okay, y'know, you just nodded off again.",0
225,What's going on with you?,2
226,I got no sleep last night!,3
227,Why?,0
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",5
229,"Oh, and deaf.",0
230,"So they're constantly, like, having to reassure each other that they're having a good time.",0
231,You have no idea how loud they are!,5
232,"Well, if you want, you can stay with Rachel and me tonight.",0
233,Thanks.,1
234,Ew! What is that? Something exploded!,5
235,"It's just her water breaking. Calm down, will you?",0
236,"Water breaking, what do you mean? What's that, water breaking?",2
237,"Breathe, breathe, breathe.",0
238,"Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead.",2
239,Okay! You don't think I thought of that?,3
240,How can you not know which one?,2
241,I mean that's unbelievable.,1
242,"I mean, was it Gina?",0
243,Which one is Gina?,0
244,"Dark, big hair, with the airplane earrings.",0
245,"No, no, no, that's Dina.",0
246,"You see you can't tell which one is which either, dwha!!",2
247,"I don't know, you thought ‘See you Saturday' was funny.",0
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",0
249,You guys would never want to go to a lecture with me.,0
250,Pa-haa!! I would love to go with you.,1
251,Really!?,2
252,"Yeah, hey I-I have clothes, I even pick them out.",0
253,"I mean for, for all you know I could be a fashion..... monger.",0
254,"Okay. Honey, I would love for you to go with me.  What?",1
255,"What should I wear, now I'm all nervous.",6
256,": I know, we did it!! Hey, that was incredible, huh?!",1
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",1
258,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",1
259,"Oh well, okay, good luck.",1
260,: Yeah.,0
261,Unless you wanna practice the Foxtrot again? Or-or the Tango?,0
262,": Ahh, thanks but no. You see I-I think I'm ready to dance with girls.",0
263,Okay.,0
264,: Yeah.,0
265,Go get ‘em Treeger.,0
266,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",0
267,Really?,2
268,": Yeah, you could dance real good with her, she's the same size as me.",0
269,"No, I'm good.",0
270,"Oh God, this is so nerve wracking! How-how do you do this?",2
271,"Well, unfortunately, I don't get many callbacks so",0
272,Is it a good sign that they asked us to hang around after the audition?,2
273,Who knows?,0
274,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",0
275,Yes!! I knew it!!  Bye-bye! So long! Later!,1
276,Oh this is great! I might actually get to play Ben's dad!,1
277,Yeah!,1
278,"Actually, that can't happen.",0
279,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",0
280,So it'll be either you two  or you two.,0
281,"Man, this is gonna be kinda weird.",4
282,"Yeah, it is.",0
283,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",0
284,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",4
285,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",1
286,Please!,3
287,Are you kidding?,3
288,"I-I hurt three huge men, I gave a guy a bloody nose....I mean I-I'm not proud of it but, I really am.",3
289,"And it's all because of you, wonderful, amazing you.",1
290,I think you've got concussion.,6
291,"No, no, I'm serious. Thank you.",1
292,You're welcome.  I'm sorry. Did I hurt you?,6
293,"It's worth the pain.  Y'know what, you know what? It's not.",4
294,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,2
295,"I do! Want a hint? huh? ""I do""  ""I do"".",1
296,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",0
297,David is going to propose to Phoebe.,1
298,What?  Why?,2
300,"Chandler, we have talked about this.",3
301,You are not supposed to give people advice!,3
302,Now couldn't you just have made some sort of inappropriate joke?,3
303,I,0
304,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,3
305,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",3
306,"Man, that's some",2
307,"Oh, that's not what you want...",0
308,"This is my father, Paul Stevens. Dad, this is Ross Geller.",0
309,It-it's great to meet you Paul.,1
310,I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens.,0
311,"Of course, of course, Mr. Stevens.",0
312,"So Ross, what your problem?",3
313,Eh-wh....Excuse me?,2
314,Why can't you get a girlfriend your own age?,3
315,That's funny. Umm….  It's not funny.,6
316,I,0
317,Okay.,0
318,"I can, I can see that.",0
319,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",6
320,Okay.,0
321,What?,0
322,Okay. I'll give you one chance to change my mind.  You got one minute.,3
323,Daddy!,2
324,"Oh well, it's not on TV yet.",0
325,"Well, then it's not on the wall yet.",0
326,"Okay, fine, I will bring you a tape, huh?",0
327,"So umm, now do you have any of Matt Lauer's clothes here? Maybe? Just ones that haven't been cleaned yet?",0
329,Ooooohh!,2
330,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",0
331,Was it...?,2
332,"Oh, boy scouts could have camped under there.",0
333,"""Ooo,"" what?",2
334,Uma Thurman.,0
335,Oh!,2
336,The actress!,2
337,Thanks Rach.,0
338,So what are you gonna do?,2
339,You have to tell her!,1
340,You have to tell her!,1
341,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",3
342,Guys?,3
343,Guys?,3
344,"Oh, yeah, you have to tell her.",0
345,Feminist issue. That's where I went!,0
346,She is gonna hate me.,6
347,"Yeah, well...",0
328,Will you marry me?,6
329,It's the big night! We wanted to wish you good luck!,1
330,"Yeah, yeah you have the ring?",0
331,"Yeah, right here in my pocket.  Pheebs?",0
332,Oh! Oop!,2
333,"Okay, now will you guys get out of here? I want this is to be a surprise and she's gonna know.",0
334,Yeah-yeah you guys. Get out of here!,0
335,Hi guys.,0
336,You are beautiful.,1
337,"Oh, thank you!   What's going on?",1
338,We're just really…very excited about this charity event that we have to go to.,0
339,"Okay umm, Ross?",0
340,"I'm-I'm really warm, so I'm going to be taking off my sweater.",0
341,"Now, I'm just letting you know that this is",0
342,Yep! That's hilarious!,1
343,I'm sorry. I'm done. I'm done.,0
344,"Y'know, last night was embarrassing for you too.",0
345,"No, not really. I mean you've seen me naked hundreds of times.",0
346,Uh-huh. But it was a first for the rest of my building.,0
347,"Okay. All right, that's true! But y'know I just don't embarrass that easily.",0
348,What?! You totally get embarrassed!,2
349,"No, I don't! Ross, I think I'm just a more secure person than you are.",0
350,Is that so?,0
351,Yeah.,0
352,Hey lady! I don't care how much you want it! Okay?! I am,5
353,I can't believe it!,2
354,I did it!,1
355,I rode a bike!,1
356,I never thought I'd be able to do that!,1
357,Thank you Ross.,1
358,"Oh hey, don't thank me, thank yourself. You're the one who faced her fears and ultimately overcame them.",1
362,"Hey, both you guys should be up there with me.",0
363,"I mean, you two are-are my… I mean, I'm lucky to have just one good",0
364,Thanks man.,0
365,I gotta go check something over here.,0
366,What a baby.,4
367,Total wuss!,4
391,"Okay, we have a lot of options here, a number of prototypes for you to try on.",0
392,Wow! This looks great!,1
393,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",1
394,And-and-and-and-and the toothpicks?,5
395,You kissed another woman!,3
396,Call it even?!,0
397,Okay!,1
398,"Well, I'm gonna go get these  in some water.",0
399,Wait you stole those from these people's wedding?,2
400,"No-no, I took them from the hotel lobby.",0
401,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",3
402,Hey!,2
403,My sweater!,2
404,I've been looking for this for like a month!,2
405,Oh my God!!,2
406,Oh my God!,2
407,Happy?! Is that what I'm supposed to be Vic? Happy?,3
408,"Well, why don't you tell me what you're supposed to be!",3
409,Huh?,2
410,Because I sure as hell can't figure it out!,3
411,I talk to you and nothin'.,3
412,"You look at me, and it's nothin'.",3
413,Nothing.,3
414,"Tasty! I'm really starting to feel like you guys have a history, it's-it's nice.",1
415,I have a question about this scene.,0
416,Yes?,0
417,"Well, I don't understand why Adrienne's attracted to Victor.",5
418,"Peel the onion. First of all, he's good looking.",0
419,Yeah.,0
420,I think my character's gonna need a little bit more of reason than that.,0
421,"Oh, hey, how about this one.",0
422,"Ah, it's says so in the script!",3
423,"Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch.",3
424,It doesn't say that in the script.,3
425,It does in mine!,3
426,I can't,3
427,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,3
428,Y'know who has a great video camera?,0
429,Greg and Jenny?,0
430,Do you still wanna call ‘em? I wanna call ‘em.,0
431,Let's call ‘em.,0
432,Yeah! Ask them if they brought their friends any souvenirs!,1
433,Hello?  Eighth street deli?,0
434,"Hey, hang up! You get food poisoning just talkin' to that place.",5
435,"Uh sorry, wrong number.",6
436,Here you go.,0
437,Hello?   It's the deli again!,2
438,All right! I'll have a sandwich!,1
439,I don't think this number's right!,4
440,Oh come on!!,4
441,"Gotta go. I miss you too, I love you, but it's getting real late now",4
442,"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?",2
443,Her name's Ronni. She's a pet mortician.,0
444,Sure. So how long you been...,0
445,"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",0
446,Since then?!,2
447,"No, it's only been six years.",0
448,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,0
449,...Joe.,0
450,Y'ever been in love?,0
451,...I d'know.,0
452,Then y'haven't. You're burning your tomatoes.,0
453,You're one to talk.,5
454,"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",0
455,Oh man. Please tell me one of 'em is Ma.,5
456,"Of course, course one of 'em's Ma. What's the matter with you.",2
457,"Everything's gonna be all right. Okay, Dick?",0
458,"Hello, I am Guru Saj--Whoa!!  That's supposed to be a duck right? ‘Cause otherwise, this is waaay out of my league.",2
459,"Hey, Rach, how was work?",0
460,"Oh, great. Although I did sit down where there wasn't a chair.",0
461,"By the way, Ross dropped by a box of your stuff.",0
462,"Oh, well, I guess I had that one coming.",0
463,"I'm just gonna throw it out, it's probably just a bunch of shampoo and...",0
464,Something wrong?,0
465,No. Nothing.,0
466,"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century.",0
467,"Yeah, that's it?",2
468,Yeah.,0
471,"Dude, I am sorry about what I said!",4
472,"No, no, you're right, it is a ridiculous name!",5
473,It's not that bad.,0
474,"Yes it is! From now on, I have no first name.",3
475,"So, you're just Bing?",0
476,Because we won our apartment back!,1
477,"What? Ace is high! Jack, queen, king, ace!",2
478,"No! Ace is low! Ace, two, three, four!",3
479,I don't know. Ooh! Ooh! Look it!  Ah-ha!,2
480,"All right, cut, let's pick again, pick again.",0
481,Okay.,0
482,Come on apartment! Come on apartment!  Oh! I know queen is high!,3
483,"Uh-huh, not as high as… It worked! King!",2
484,Yeah baby!,1
485,"But, we pick again! We pick again!",1
486,Why?!,0
487,I don't know!,6
488,Tickets please!  That's courtside baby!,1
489,"Seriously, good game though. Good game.   What are they so mad about? They get the apartment back!",2
490,No they didn't!,1
491,"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?",0
492,It's gonna be worth it.,0
493,"It's a known fact that women love babies, all right?",0
494,Women love guys who love babies.,0
495,It's that whole sensitive thing.,0
496,"Quick, aim him at that pack o' babes over there.",0
497,Maybe one of them will break away.,0
498,"No, no wait, for get them, we got one, hard left.",1
499,"All right, gimme the baby.",0
500,"No, I got him.",0
502,"Oh, seriously you want him?",2
503,Hello.,0
504,"Well, don't, don't think me immodest, but, me?",2
505,You wanna smell him?,0
506,"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",1
507,What'd I tell you? What'd I tell you?,1
508,"Well, we are great guys.",0
509,Bye.,0
510,"Well, not really.",0
511,"I mean technically it's-it's not against the rules or anything, but it is frowned upon.",0
512,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",3
513,"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",1
514,Yeah. What-what should I do?,6
515,"Well Ross, it seems pretty clear.",0
516,I mean what's more important?,0
517,"What people think or how you feel, huh?",0
518,"Ross, you gotta follow your heart.",0
519,Joey that is so sweet.,1
520,Hey.,0
521,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",0
522,I couldn't do it.,4
523,You couldn't do it?!,2
524,"Hey, relax I just need more time. We're going to dinner tonight.",0
525,What?! You're going out with her again!,2
526,Going out with who?,0
527,"Uh, Dana Keystone from college.",0
528,Oh yeah! Wasn't she uh,2
529,"No, that was Dana Caplin.",0
530,Joey! You didn't even know her!,2
531,Ah whatever!,3
532,"Morning! Hey, how's my favorite genius and my little robot buddy?!",1
533,Don't touch him!,3
534,Okay!,2
535,All right.,0
536,"Umm, all right Wayne, level with me.",0
538,I-I keep hearing all these rumors that I might get fired.,6
539,"Okay, they even have actors coming in to read for my part!",6
540,"Come on man, you-you got to give me a second chance!",4
541,"I mean, I love-I love this little guy!",1
542,Ah-ah!!,2
543,"Okay, that's why you didn't want me to touch him right?",2
544,Here you go!,0
545,Okay?,0
546,Stupid!,3
547,I can't believe it!,2
548,God!,3
549,"Hey, how you doin'?",0
550,Hey.,0
551,"Hi. Look um, about what happened earlier...",4
552,"No, hey, well, I-I completely understand. You were, you were stressed.",0
553,I was gonna give you a chance to apologise to me.,5
554,For what? For letting you throw me out of your office?,3
555,You had no,3
556,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",3
557,"But I told you, I didn't have the time!",3
558,"Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, Rachel.",3
559,"Wh, Ross what do you want from me?",3
560,"You want me, you want me to quit my job so you can feel like you have a girlfriend?",3
561,I know.,0
562,"Ooh, I have to tell you something.",1
563,What?,0
564,But I can't tell you.,0
565,"Okay, but wouldn't it be easier if you had to tell me something that you could tell me.",0
566,"Well, sure in a perfect world. But, no, I promised I wouldn't tell, and I swore to like all my gods.",0
567,Okay. Does it have to do with Ross and Rachel?,0
568,No.,0
569,Does it have to do with Joey?,0
570,No.,0
571,Does it have to do with-with Chandler and that sock that he keeps by his bed?,0
572,"No, but let's come back to that later!",0
573,Hi!,1
574,Richard!,1
575,"Actually, I'm not here to complement the chef.",0
576,"Ohh… Oh, that's okay I hate when people come back to complement the chef.",0
577,Like I have nothing better to do!,0
578,So what's up?,0
579,"Well, it was great seeing you the other night.",1
580,"Oh, good to see you too. Did you come down here to tell me that?",0
581,No! I came here to tell you something else.  I came here  to tell you I still love you.,1
582,"One pregnant woman at a time, please! I just want you to be okay.",5
583,So forcing her to marry Bobby is gonna make that happen?,4
584,"Maybe!  Well! Well…so-so uh, what kind of music does Numb Nuts....Oh forget it! I can't!",3
585,"Joey, I am scared to death about this.",6
586,"But I really think I can do it, I'm just gonna need some help.",6
587,And Bobby's gonna be here the whole time.,0
588,"You bet I am!  And to answer your earlier question, we're straight-up gangster rap.",1
589,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",3
590,Because! ‘Cause… ‘Cause you're my baby sister!,4
591,And you're my big brother!,1
592,"I mean, you're my favorite guy in the whole world.",0
593,I'm not even scared to tell mom and dad.,0
594,I was scared of telling you.,6
595,"Well I'd be scared of them, but all right.",6
596,"Joey, I can't stand the thought of having this baby with you mad at me.",4
597,I want him to have his uncle.,4
598,Is my baby gonna have his Uncle Joey?,4
599,Of course he's gonna have his Uncle Joey!,1
600,"We're gonna be all right. I mean, even if we're not married this baby is gonna be so loved. Not just by us.",1
601,That's right! By his uncle too!,1
602,And by you.,1
603,"Okay Bobby, why don't we just come over here and let them have a little moment.",0
604,Come here!,1
605,No! Seriously! What's wrong with you?!,3
606,I had a really nice time tonight.,1
607,So did I. I'm really glad Monica asked us out.,1
608,"I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch.",0
609,You're sister? You're sister's asleep on the couch?  Ohhh! I saw,2
610,"Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.",0
611,Hi!,1
612,"Nice to meet you. I wish you'd told me we were having company, I'd fix myself up!",2
613,Like it would help.,0
614,You are so bad!,1
615,You are!,1
616,You are!,1
617,You are!,1
618,You are!,1
619,You are!,1
620,You are!,1
621,You are so dead! I'm gonna get you.,1
622,"Uh, it was very nice meeting you.",0
623,"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",2
624,"Hi Mom, it's Jill.",0
625,"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre!",2
626,"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.",0
627,Jill says vestibule... I'm going with vestibule.,0
628,"I'm fine. No, I'm not alone... I don't know, some guy.",0
629,"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was",1
631,Are you seeing anybody right now?,0
632,"Og-ee-op, I'm not asking for me, I'm… I mean… No, I'm-I'm not gay, I'm not asking you out.",6
633,I'm not-I'm not-I'm not gay!,6
634,Personal shopping? What is that? Like where you walk around with snooty rich people and tell them what to buy?,0
635,Uh-huh.,0
636,That sounds great!,2
637,Hey!,0
638,"Umm, excuse me, we switched apartments. You can't eat are food anymore, that-that gravy train had ended.",3
639,There's gravy?,2
640,If you have the big apartment you have to deal with people coming over all the time.,0
641,"That fridge has got to be stocked, okay, that's your department now.",0
642,What are you doing?,0
643,I think I left a donut up here.,0
644,"So, in conclusion, the lines all go up , so I'm happy.",0
645,Great job team!,1
646,Tomorrow at 8:30.,0
647,Phil!,1
648,Nice job.,1
649,Stevens!,1
650,Way to go!,1
651,"Joel-burg, you maniac!",1
652,I love ya!,1
653,Bing!,1
656,"Oh, excuse me. I forgot my briefcase y'know, by accident.",0
657,"Of course, you did.",1
658,Forgot something else too ya bastard!,1
659,"Well, what about you?",0
660,You're not feeling left out or anything are ya?,0
661,"No. No, not at all, that's-that's ridiculous.",4
662,"Everybody else got one, and you want one too. Don't you?",1
663,"Ye-ye-yeah, yes I do!",4
664,"Now get on out of here, you!",1
665,Hey Bob.,0
666,Hey! How's my pal Toby doing today?,1
667,"If I see him, I'll ask.",0
668,Toby!,1
670,Yeah!,1
671,Oh then you know each other.,0
672,We're on a semi-first name basis.,0
673,What do you think of adding him to our team?,0
674,"Bob? Ooh, working here with us? Everyday? Yeah, I don't know if he has what it takes.",2
675,Really? They love him down on six.,2
676,But this is eleven. It's almost twice as hard up here.,0
677,Hey! Guess what I got for your wedding!,1
678,A freakish thin date with a hanger for her head?,0
679,"No. Rachel hooked me up with a tux! But not just any tux, Batman's tux!",1
680,What?,2
681,That's right! Made expressly for Val Kilmer and worn by him in the hit film…that Batman film he was in.,1
682,You can't wear that! I'm wearing the famous tux! James Bond's tux!,3
683,So?,0
684,So....If you wear that you'll make mine less special.,4
685,"Sorry, I just don't like the idea of when I say ""I do,"" he's thinking, ""Yeah, I'd do her too!""",3
686,Well then we still have a problem.,0
687,Yeah!,0
688,With what?,0
689,"Well, we're trying to find someone to perform our wedding and they're all either boring or annoying or y'know, can't stop staring at the ladies.",0
690,Oo! You should have one of us do it!,1
691,"Phoebe, we're getting",0
692,No! No! It's-it's uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,1
695,I call it!!,1
696,What?! No! It was my idea!,3
697,Guys thank you very much but neither of you is marrying us.,0
698,Does calling it not mean anything anymore?!,3
699,"We are going to have a legitimate member of the clergy! And when I say legitimate I mean, gay and in control of his saliva!",0
700,"See, I see.... big passion in your future.",1
701,Really?,2
702,I do.,0
703,"Oh Ross, you're so great. [she playfully rubs his head and gets up]",1
