,text,label
6, I thought this was the emergency room . ,0
6, Yes ? ,0
5," Er , let me see . Romance , comedy , documentary , action , science fiction , cartoon and so on . ",0
0,I ' m so relieved that your ankle wasn ' t broken ! I feel just awful about this whole thing . I wanna make it up to you . Let me take you out to dinner tonight . My treat . ,0
1, Channel 24.It shows some cable networks and no commercial interruptions . ,0
8, What would you like for dessert ? ,0
9, Exactly . ,0
7, How much is the brown one ? ,0
2, You know that for a fact ? ,0
4," And also , the bank and branch name the company holds an account with and the account number . ",0
9, I ' ll say . ,0
3," James Cameron , of course . ",0
3, So what are you going to do ? Take up an art class or something ? ,0
2, Out of hand . ,0
1, Yes . How much do you want ? ,0
5, All right . Let's go . ,0
2, Would you mail this letter for me when you go to the post office ? ,0
3, I would like to reschedule . ,0
6," Well , there was a sign that said “ Buy now for seventy . ” ",0
1," It ' s a difficult choice . The train is a litter faster , but much more expensive . ",0
5," Yes , we do . ",0
1, Sure ! How about we go home and prepare a couple of sandwiches ? ,0
1," I look at myself in the mirror . Sometimes , it ' s not a pleasant sight , especially if I have been out late the late before . ",0
1, It's $ 120 per yard including a 5 % discount . ,0
2, Can I pay by a credit card ? ,0
1," Sure . If you want to stretch your legs , a good exercise is to lift your knee in front of your body , like this . It ' s a very simple exercise , but very effective . ",0
1," Well , Let's get down to business ( shall we ? ) Now is probably a good time to start our discussion , the main purpose of this meeting is to talk about the benefits and disadvantages of our new project . ",0
2, What would you like to see in Beijing ? ,0
1," We've been able to survey and track some of the information of our website users through some cookie technology , and it's surprising to see the results . ",0
0,"Waiter , we'd like a menu first , please . ",0
0,I ran into a glass door yesterday . ,0
0,Are you a smoker ? ,0
0,What do you think of the test ? ,0
2, I need to find a space on campus . ,0
0,Do you have any questions before you commit yourself to this ? ,0
1, No problem . How many are you thinking about ? ,0
11, I don ' t know ... It ' s still a bit pricey ... Thanks anyway . ,0
4," Okay . I could go for that . It ' s called Al ' s Steakhouse . They also have great fried fish , and I love their salad bar . You can go back to refill 1 your plate as often as you like . ",0
6, Will they need anything else from me ? ,0
0,"Well , what did you think about the last candidate ? Do you think we should hire her ? ",0
3, You might be right . He does think pretty highly of himself . ,0
10, And what did you do after that ? ,0
3, I see . You need the reference numbers ? For each cheque ? ,0
6, I can call a plumber to fix it right now . ,0
4, Wish him to be healthy soon . ,0
2, Wow ! You are much skinnier since the last time I saw you . ,0
0,Your hand is bleeding . What have you done to it ? ,0
6, you refused the gift ? That's terrible . ,0
2, You are going to take courses ? ,0
1, It doesn ' t matter to me . ,0
2, Please think it over . ,0
8, How much is that ? ,0
0,I will be accompanying you on your tour today to visit our company . This is the assembly line . These drawings on the wall are process sheets . They describe clearly how each process goes on to the next step . ,0
1," Sure , company rules are not very strict at this point . ",0
9, What size ? ,0
2, How do you know that ? ,0
5," But it ' s Friday today . This road is always jam packed during the weekend , isn ' t it ? ",0
6, The baggage allowance is different according to the class of your ticket . What class are you travelling ? ,0
0,"Mr . Lee , I was wondering if you and your wife had plans for next Friday night ? ",0
2," I heard he's very clear about his likes and dislikes and he's not the type to just let things go , so don ' t provoke him . ",0
21," No , I'll stay here at the booth . I ate earlier . Are you going to the Chinese restaurant ? ",0
7," Well , every department is different . You wouldn't want your new co-workers to think you're a Grinch , right ? ",0
9, Here you are . ,0
1, This must be his 21st birthday . No doubt about it . ,0
3," It's no use complaining . If we had got enough money , we couldn't put up with it , and would have moved out . ",0
9," I'm a GS - 15 . That's high on the scale of workers , but even a GS - 1 is paid a living wage . ",0
4," Yes , by all means . I was just about to leave . ",0
6, One way or round trip ? ,0
2, What are you greatest strength ? ,0
2, Can you speed it up and let us have it today ? ,0
7," Of course , the sports shoes don ' t go with the formal occasions . ",0
11," No , it's too far . Let's drive . ",0
1, Why do you think so ? ,0
8, I have your ballot card right here . ,0
4," If the furniture is pleasantly designed and high-quality stuff , we intend to buy several thousand sets . ",0
4, I wish he could too . ,0
2," As soon as possible , because I've got an important meeting to attend . ",0
6, How about the shelf ? ,0
8," yeah , it's a must . Otherwise , I may miss important phone calls and text messages . ",0
3, How do you do ? Those women are very hard-working . What are their jobs ? ,0
2, He's a team player . ,0
7, I ' ll give you a call around 6:00 and stop by around 6:30 . ,0
8, You should present the best of yourself in order to achieve success in the interview . ,0
8," Yes , maybe I should . ",0
1, oh yeah ? ,0
2," Show me some of the latest fashion , please . ",0
3, The job has a menu plan where you are given a fixed amount of money and you choose what you most need in terms of benefits . ,0
5, We have one single room on the fifth floor . ,0
0,"Hello , Friendship Restaurant . May I help you ? ",0
7, Please send me your background information before the meeting so I can look at it . ,0
2," Well , this company can be dated back to 1893 , so it has a hundred years of history . ",0
0,Have you heard that new song by the Beastie Boys ? ,0
3, I have a B . A . in Economics . ,0
1, What size pan were you thinking of ? ,0
1, It's January . ,0
2, We need to talk . ,0
3, several of those civil wars have been going on for years and years . It seems they will never end . ,0
3, See you later . ,0
3, May I try it on ? ,0
8, That ' s my brother ! ,0
2, I need to excise my arms too . How can I do that ? ,0
1, I ' m here as a tourist . ,0
2, I was wondering if I could ask you a few questions . ,0
4, How much do you think it would cost ? ,0
16, that sounds like a good idea . What are you going to do if you have any questions while you're studying ? ,0
21," Well , I don't think it's the best style for me . ",0
3, That ' a good idea . You are a fireman and it can be dangerous job . ,0
2," I don't have a fever , and I'm ready for my test . ",0
1, I ' m on my way to work . ,0
6, I ' m going to need $ 5.00 . ,0
1, What is it ? ,0
7, Then you just go straight on until you see the station ahead of you . ,0
3, Are you sure that's high enough ? ,0
6," Hmm , I ' ll pass . Hopefully I can find a decent place that won ' t cost a fortune . ",0
7," Both countries are very poor . Soon they will run out of money to finance the war . Then , perhaps , they will negotiate . ",0
2, I ' Ve changed my mind . ,0
7, Don't you agree with me that in the long run moderate prices we bring about large sales and more profit ? ,0
3," Actually , it is impossible because the mountain is covered with snow all year around . And is has heavy fog for most of the time . ",0
8, Does it bother you when you eat something really sweet ? ,0
0,I've moved . ,0
3, Remember to match it with your glittering star-shaped necklace . Very attractive on formal occasions . ,0
2," Yes , would you leave him a message to call me ? ",0
6," OK , but they better tag lightly ! ",0
2, What would it be like ? ,0
3," I was . It ' s just that the holidays are coming up and I won ' t be able to home because I can ' t afford the airfare . I ' m just longing for some of the comforts of home , like my mom ' s cooking and being around my family . ",0
1," Yes , I do it a lot.but I don't like doing dishes.what about you , do you like cooking and then cleaning up afterwards ? ",0
3," Yes , but we shouldn't get any thing too big . Remember it has to fit in with our living room furniture . ",0
5," Yes , we do . ",0
1," Yes , they have been concerned about me finding a job . ",0
1, Yes . I've had one for as long as I can remember . ,0
2," Oh , is that so ? ",0
3," Yes , but technology is ever changing and technology is becoming obsolete faster and faster ! ",0
0,We are interested in placing a large order for your wool carpet . ,0
2, Does 7 o'clock suit you ? ,0
5, Do you have a current electricity or gas bill in your name ? ,0
0,Could you please pass me the salt ? ,0
4, What movie are you and your friend planning on watching ? ,0
4," OK , please wrap it for me first . ",0
2, You lost your wallet ? Anything important in it ? ,0
6, My dream home is actually just a small cottage in a quiet village in England . ,0
1," Yes , speaking . ",0
4, Is a home inspection very expensive ? ,0
1," Yes , of course . What is it ? ",0
3, Is the water causing any damage ? ,0
14, my sister is a lawyer . I can ask her if she can help him . ,0
0,Whip me if I get below 80 marks out of 100 ! ,0
4, Tell me what size you want and I'll order the wood . ,0
7," It ' s a start , but I ' ll be happy when I see you stick to your promise ! ",0
0,Mr . Wilson . We very regret the mistakes in goods . I am very sorry and we are responsible for the mistake . ,0
15, How much is it ? ,0
3," One orange juice , scrambled eggs with bacon , toast and coffee . ",0
3, I ' m afraid he didn ' t leave one . ,0
2, We are tired of jobs and competition . We need a quiet place . ,0
11, Here's your ticket . ,0
2, Can you finish it on time ? ,0
8," I ' m getting this beret – doesn ' t it look cool ? I ' d like to get some jeans too , but I don ' t have enough cash on me . ",0
10, You want to bet ? ,0
7," In that case , we can choose the Youth Hotel . It's a good choice , clean and economic . ",0
7, This is the world ' s largest sports stadium . It ' s a massive oval . ,0
2, Don't worry . I will find someone to assist you . ,0
2," Buying a house can be expensive , but there are ways to find cheaper houses . ",0
9," I had mine when I was 24 . that ' s a little young . I ' d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career . ",0
3, 300 dollars . ,0
5," I had a similar experience , but that was on the top of Tasha Mountain in my country . ",0
8, My advisor ? ,0
6," I sprained my wrist , but the doctor says it will be fine . ",0
2," An average ten hours or more a day according to a survey , the worst thing is that the employees get no pay for that . ",0
2, But he used to be very relaxed and cheerful . It's not like Harry to do a thing like that . ,0
0,"Okay , let's begin . Hello , everyone . My name's Karl Roberts , and I'll be your teacher for this class , Intercultural Communication . ",0
2, Oh wow . How was it ? ,0
5," Well , it is hard to find a parking place in the city . Besides , parking is quite expensive in the downtown . ",0
7, And the other half come in later to pick up the second wave . ,0
3," My name is Gavin White . I was born and raised in London . After high school , I went to Edinburgh University . I worked for one year to pay for my tuition and then got my Bachelor ' s degree there . Now I've come here to get my Master ' s degree . I am glad to meet all of you and I hope we will become good friends . ",0
11, Thank you . ,0
10, OK . Let's take a walk and look for a shop that does . ,0
3," Please put one under your tongue , do not swallow it . ",0
1," Sure , what do you need to do there ? ",0
2, do you think there's anything we can do to reverse the damage that's been done already ? ,0
4, Have people set foot on its peak ? ,0
11, You ' re such a geek ! ,0
9, Thank you . ,0
9, Please ask him to give me a call as soon as he return . he has my number . ,0
3," No , I don't . Usually I'm very careful about checking the money I'm given , but for some reason this one slipped through . ",0
1," Yes , I always have coffee in the morning . ",0
3, I was in New York for a wedding . ,0
5, Here is ten Yuan . ,0
6," Open your mouth and say ah ... God , you are suffering from the swelling of tonsils . ",0
6, How much are they ? ,0
10," Surely . As this is the latest model , and you can also set the alarm . ",0
10, There's a car dealer down the road . How about going there ? ,0
5, What do you want to study ? ,0
8," OK , let's do the calculation . ",0
1, Because we are partners in our science lab . Why are you so jealous ? ,0
10, Does it pick up any digital channels ? ,0
13, not yet . She's pretty tame . I think she must be used to being around lots of different people . ,0
6, Thank you . ,0
8," Yes , they ' re very fashionable , you see . ",0
8, OK . ,0
0,It's very dark in here.Will you turn on the light ? ,0
1," Yes , he has . He sold it last week . ",0
2, I thought mom said no dating till you are 16 . ,0
9," Well , go home and rest up . Make sure you check the website for your assignments . ",0
12, You've got a deal . ,0
5," No , He must be her fourth or fifth . ",0
0,I wonder if you could help me ? ,0
6, The price seems acceptable . Can you supply the bedsheets now if we order some ? ,0
1, Tell me what you're hungry for . ,0
12, Sure ! It's txyb@gmail.com . ,0
8, Absolutely not ! You are highly contagious ! You don ' t want to infect the rest of your co-workers do you ? I recommend staying in bed for at least three days and drinking plenty of fluids so you don ' t get weak and dehydrated . You can catch up on all the latest TV shows and movies ! ,0
4, That sounds very reasonable . ,0
7, I ' m thinking something exciting but safer . ,0
4," All right . I only hope to get a skillful driver , and drive me to my stop safe way . ",0
0,"Hi , Ann . ",0
8, And I don't like meat that much.The only meat I eat is chicken . ,0
6," No , that gets it for now , thank you . ",0
6, Do you have a package that includes all the movie channels with the basic channels also ? ,0
5," OK . By the way , can you tell me how many kilos of free baggage each passenger is allowed ? ",0
5," Yeah , you never look at the positive side of things . ",0
4, This is just my size . How much is the rent ,0
4," Yes , I'm sure I've done a lot of house painting in my life . And my mother was very picky . If I got even a tiny drop of paint on her furniture , she would get furious . So I learned to be very careful . ",0
2, The only thing is that my pen friend will be writing in English . ,0
3, My paper is on the influence of television on children . ,0
0,"Paul , is this Paul , isn't it ? ",0
5, What ' s that building opposite us ? ,0
8, You really shouldn't watch so much television . ,0
0,I'm sorry to tell you that I have to cancel our appointment . ,0
5, I don't feel bored at all . I'm getting along with my colleagues . I will enjoy working with them . People are great in this industry . ,0
4," Yes , there are . They are not very big compared with the mountains in other countries . ",0
1," I don ' t know ! This stupid old car started spewing white smoke and it just died on me . Luckily , I managed to start it up and drive it here . What do you think it is ? ",0
22," Well , I know that in most Asian countries Apple is not very popular . But here in America , especially in universities and publishing companies , Apple is very commonly used . ",0
4," I liked it , too . It was scary , but not disgusting . I always enjoy watching Anthony Hopkins . He's brilliant . ",0
2," Is it true that just like a human skeleton that defines their shapes , companies have structures that define theirs ? ",0
9," No , mom , I can manage it by myself . His help just causes more trouble . ",0
6," oh , no . We've brought your return ticket for you . I think you'll find it comfortable . ",0
1," No , what's up ? ",0
8," No . Actually , I'm based in Shanghai . I'm just here for the conference . So , T & D eh ... ",0
2," Yes , we regret we cannot maintain our original price . Since the prices of the raw materials have been raised , we have to adjust the price of our products accordingly . ",0
2," In spite of this , international business contracts and arrangement must be precise , specific and all-inclusive to lessen misunderstanding , misconceptions and disagreements to the minimum 。 ",0
4," ok , well , we're going to make a pan of lasagne , a salad , and some garlic bread . Here's the recipe . Do you want to get the ingredients we need out of the cupboard ? ",0
3, He deserved it . ,0
3, It is the Colorado River . You will go down the river in a boat if you wish . ,0
15, Goodbye ! ,0
8, That deposit bothers me . Give me a minute . ,0
11, How much does the pair cost ? ,0
8, Positive . I ' ll put the radio on . ,0
12," Yes , but it's not much . You just have to pay 1 % interest on the account . It's much lower rate than any of our loans and it's much better than owing money to most credit cards . ",0
1," Now , how would you like this check cashed , madam ? ",0
3, Thank you . ,0
1," I set up the Personal Wealth Management Service with you , but I'm going to be travelling overseas . I'm not quite sure what I should do . I mean is it possible to still use the service ? ",0
1, I watched it happen . ,0
5, Thank you . ,0
0,"IBA Bank , Business Banking Department . Ling Ming speaking . How may I help you ? ",0
5, No . This is my first Ae abroad . I am not sure what is wrong with me . ,0
0,"My name is Sue . How do you do , Mr . Black ? ",0
6, Why not just give them money in red envelopes ? That would be much easier . ,0
3, What would a typical day be like for me here ? ,0
11, Rama . ,0
9, I want to pay all of it off today . ,0
4," That just stands for Greenwich Mean Time . Here in California , we are in Pacific Standard Time , that is eight time zones west of Greenwich . Remember when we were in Beijing ? Well , then we were in China Standard Time , and that ' s eight time zones east of Greenwich ! ",0
3, he was arrested by the police for drinking and driving . ,0
8, They name it after the place where it was first held . ,0
7, That ' s fine . Thanks for coming to see us . I hope to be able to let you know about the job within the week . ,0
1, I've got a headache . ,0
0,"Hey , let's eat out tonight . ",0
8, I don't understand the projected revenues . ,0
5, 5o dollars . Later you have to place your ticket near the sensor . ,0
3, What a pity ! ,0
2," Well , I can't find the way to the entrance . Would you tell me where the entrance is ? ",0
6," They are . And not only that the people are friendly , but also the food is delicious , not to mention cheap . ",0
0,Could you tell me where the cereal is ? ,0
10," that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs . ",0
3, She's very fond of detective stories ? ,0
6, They are staying at the Hilton Hotel . ,0
0,"Hello , this is Sheila from Huawei Corp . Is that Li Lei ? ",0
1, What's the rush ? ,0
10, How do you know so much about food and dieting ? ,0
4, What do you know ? You are over weight too . ,0
12, What should I write except these ? ,0
3, not far . About 150 meters perhaps . ,0
0,"Hey , Ann . Wake up . It's time to get out of bed . ",0
3," No , really . Look . It's got a double time zone setting . ",0
5, Here are some nice brown hats.Try this hat on.It ' s a very good one . ,0
6," Ok , I'll wait for you at 7pm at home . Anything else ? ",0
11, No . Just talk to your manager and let me know . ,0
9," I know , I know . Well , is there some , is there someone else ? Oh , that woman on television , Sydney Ann . ",0
5, May I be so bold as to suggest chocolate-covered strawberries with the champagne ? ,0
1," Is he ? Yes . He looks pale , is there anything I can do for him ? ",0
1," My chicken tastes all right , but it is pretty dry . How is your fish ? ",0
5, We all keep our shoes on indoors . ,0
10, Long or short ? Straight ? Curly ? ,0
0,I stayed at Bob's last night . ,0
1, Sure . What do you want ? ,0
0,"Good afternoon , sir . May I help you ? ",0
0,Good.Now what kind of job do you want ? Mr.Wilson ? ,0
10, How long will you be staying in the UK ? ,0
12, It's eighty four euro per night excluding VAT . ,0
0,"May I help you , sir ? ",0
7, Yeah I got a club card . Here you go . ,0
0,What did you say ? ,0
2," Don't be so worried , You know Professor Robert is not too strict . ",0
5, Maybe not . I think we should just focus on the retired people . ,0
2, What methods do you use to conserve water ? ,0
3, One of my neighbors has a dog . ,0
3, I was calling about your son . ,0
6," I agree . I heard that in the western countries , almost everyone likes coffee . Is that true ? ",0
5, Because you can see the results with the general public ? ,0
2, Mr Harold Smith . ,0
3, I know that but he has to learn to be independent . He can't just keep living at home . ,0
2," Yes , I think so . My friend once used it mostly to play chess , but now he has learnt how to do other things on the Internet . ",0
15," Oh no , I can't tell you . It's a secret . Say , why don't you go over by the lily pads and try fishing there ? ",0
4," I know I deserve it , but I can not find a way to talk with boss about this . ",0
2, I'd like to tell you that you could come to work with us . ,0
2," Yes , sir . I'll bring you a menu shortly after we take off . ",0
8, Great ! Is a trainer available ? ,0
4, Please fill in this form . ,0
4, What food are we out of ? ,0
4, Silly me . ,0
10," Great , we have to walk now . ",0
3," Of course , ma'am . ",0
0,Can you give me a hand with my luggage ? ,0
7," Give me that piece please , and a pond of meet , too . ",0
8, How do you do that ? ,0
1," I took them from a travel agency . Look at those nice pictures , lash forest , palm fringed , white sand beaches , crystal blue ocean , they ' re breath-taking . It is like paradise on earth . ",0
3," No , thanks . We have made a reservation before . ",0
3, Fine ! Will you need part-time or full-time work ? ,0
0,Do you have these shoes in a size 7 ? ,0
2," Okay – that ' s 232-2453 , or 232-2456 . ",0
1, ... Who you were with ? I didn ' t know whom you were with . ,0
4," The accounts department , I think . ",0
2, I heard you got a new roommate . What's he like ? ,0
7, I like that idea . ,0
0,did you go to university ? ,0
2," Of course sir , would you like milk and sugar with that ? ",0
13, OK then . We shall ask them to put some red chilli on it . ,0
2, My mattress was supposed to be delivered today . ,0
1," yes , I can still recall the days when we were all seniors at college . I asked you whether you would go back to your hometown or not . ",0
0,Are you a wrestler or a boxer ? ,0
10, Where do I sign up for my benefits package ? ,0
0,"Good afternoon , sir . ",0
3," No , no limit . You can take as many as you want . ",0
5, Okay . I will book this flight . ,0
2, Of course . Otherwise I cannot go abroad . ,0
3," Yes , thank you . ",0
1, The organizational structure is the company's framework of communication and authority . ,0
9, I need to go to the police station . ,0
8, I'm getting a little excited now . What clothes should I wear ? ,0
2," I ' m afraid if the noise goes on , I shall have no alternative but to leave . ",0
4," If you like , you can apply right now . ",0
9," I know , that's the problem . He can't find any customers . It's a pity , really , because his products are very good . Oh , that reminds me . Did I tell you about my new laptop ? ",0
11," I think it's too slow makes me sleepy . In fact , it's the worst in this week ' s top ten , if you ask me . ",0
2, Terrible . It must be something serious . You two are such close friends . ,0
5," No , I haven ' t . I have never eaten jellyfish before . ",0
2, Did you like it ? ,0
6," That's no problem . Could you please sign here ? Here's the 1,000 RIB in cash , your passport back , and the remaining balance has been deposited in your account . ",0
2, I like that one over there . Can you show it to me ? ,0
3, Of course . Mary is our most experienced member . ,0
0,I'd like a refund on this sweater . ,0
3," I don't know . I know there are advantages to joining , but I'm not much into group stuff . ",0
0,How long have you been in Taiwan ? ,0
3, Yes . I bet my bottom dollar that he will get promoted . ,0
5," Whenever you are given added responsibilities , you should get a promotion . ",0
5," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . ",0
3, I ' d like to . But I ' m afraid I can ' t . ,0
7, He is a professional football player . ,0
2, Are you positive ? ,0
3, Are you Mr . Wu ? ,0
2," I don't know . Maybe the same . Actually , this is my first time being in a bar . ",0
5, I think it suits you well . ,0
2, You did ? How do you like the fashion show ? ,0
1," My name is Zhang Ming.Nice to meet you , Susan . ",0
2, I am afraid I would tense up during the interview . ,0
7, I would love to catch a movie this weekend . ,0
11, I understand . But why won't you show me the logo ? ,0
7, Are you sure half past seven ? ,0
9," Since he doesn ' t have a son , he hopes that one of the girls will marry a wealthy man . That way , all of his daughters will be cared for . ",0
1, What ' s it for ? ,0
0,Good morning . May I help you ? ,0
5," That's right , quite different . One day one of my American friend looked pale , so I asked him whether he was sick or not . But he was reluctant to answer my question . ",0
3, I don't think so . I'll create further achievement in the future . ,0
3, Twenty minutes just to find out what their business hours are ? ,0
2, Don't you hit it off ? ,0
8, How have you been getting on with your studies so far ? ,0
6, Half done . ,0
3, Hah hah ! You have to go before me . ,0
5," Daniel , I am not tall enough to reach the of the blackboard . ",0
3, That's horrible . I'd be happy to give you the assignments from English class . ,0
1," I cannot dance , you know . I have't such a talent . ",0
3, His wife always complained that Kevin's salary was too low and got no promotion . ,0
2, I want to mail this package . ,0
4," Of course not . You know , there are many foreign customers like you here . And I think it's good for me to improve my oral English . ",0
14, Thank you . I've booked two rooms for Ms White and Mr Webber from Wednesday the 25th to Saturday the 28th of September . ,0
2, How much will it be in Chinese currency ? ,0
0,"Can I help you , sir ? ",0
4, What about affirmative action ? Hasn't legislation changed a lot of the make hierarchy ? ,0
1," Now that you mention it , I'm getting a little bumed-out from studying nonstop , too . Listening to some music for a while would suit me just fine . ",0
12," Let me repeat that back to you . That's zero , double seven , eight , seven , three , six , seven , double six , double eight . ",0
5, Did they catch him ? ,0
0,"Morning , Mum ! ",0
3," I wish I were , but i am deadly serious . She said you invited her to dinner last week . ",0
11," Sure , but you must verify that first and don't easily make a promise . ",0
0,Hi ! I see you are having fun with your new computer and internet connection . ,0
4, Have you updated your resume recently ? ,0
5," We've got a spot in Olympic Stadium sponsoring one of a team's equipment , then a rally for cancer research , and a connection to the inner-city education program . ",0
11," very much . The birthday cake was delicious , wasn ' t it ? Emily told me that she and karen made it themselves . ",0
2, How come I never knew that ? Do they have a new baker or something ? ,0
10, Who will take responsibility for the heating system if it has a problem ? ,0
2, I like to work alone on some things and then bring those things to the group . ,0
2, A pipe burst in my wall . ,0
5," I'm afraid we can't go as high as that . You know we usually don't give any discount . but considering the newly established business relationship between us , I could give you 3 % off the list price . ",0
2, How were you sick ? ,0
7, Did you look in the attic ? ,0
7, How can you help me to decide which areas to invest in ? ,0
1, I need the haircut . But you seem so busy today . ,0
0,"Can I take your order , sir ? ",0
2, Is your watch right ? ,0
3," Oh , no . Most of the time I do these things . She is a writer . ",0
2, What kind of flowers do you want ? ,0
3," No , it's the number fifty-eight . ",0
0,What's your favorite book ? ,0
3, Why the drama ? Have you been watching soap operas ? ,0
10," OK , I see . ",0
8, not if you are good at net-working . Do you like to meet new people ? ,0
10, So how long has he here for ? ,0
4," Tea Ceremony ! It's , there's a certain way you have to make tea , not only make tea , there's a certain way to for example wipe a bowl . ",0
4," Yes , you must . ",0
3," Yes , my name is Ms Jane Reeve , R-E-E-V-E . ",0
8," No , I don't mind . I just don't know where we can put the speakers in this tiny room . ",0
5, you should collect as much information about the company and the position you're applying for as you can . It is important to show that you've done some research into the company . The interviewers Wil ,0
16, How do you want your moustache trimmed ? ,0
1, See you ! ,0
6," Hopefully , we ' ll both have relaxing weekends . ",0
1," Oh , I see . You ' Ve already decided , have you ? Now , you listen to me , you ' re only 19 . ",0
9, See you . ,0
0,This'd better be good . I'm about to fire you all and find another company . ,0
8," Buckle up the belt , please . ",0
2," I ' d like to , but there ' s her boyfriend . He ' s very broad-shouldered . ",0
4, There ' s a train at 7 a . m . It'll get you there at 11 a . m . But there are many stops along the way . ,0
15," No , I'm fine . ",0
10," No , I ' m not . Would you please drive slowly and carefully ? ",0
3, It's too biased . I just don't agree with their one-sided reporting . ,0
2, That's right . My appointment is for 11 o'clock . ,0
4, Because you don't want to smell bad . ,0
0,How was your flight from Hong Kong ? ,0
0,Do you need help with something ? ,0
1, Beg your pardon ? ,0
3," Yes , I interned with an accounting firm during tax season . ",0
3, I will think about it . ,0
3," Oh , it ' s right downstairs . I'm going there myself . Just follow me . ",0
0,Yes . Of my mother standing in the kitchen and me doing my homework before school ... ,0
9, Can you lend me one ? ,0
10," I'm a real man , and I like football . ",0
5, You should also put yours on . you never know what will happen with me in the driver ' s seat ! ,0
7, I just saw her down the street . I don ' t know where she is . I don ' t know ... ,0
2," But traveling is an expensive hobby , isn't it ? ",0
0,"Have you moved into your new house yet , Michael ? ",0
5," Oh , I see , sir . We have the airline office inside the hotel . They have an English-speaking staff . Just dial 35 , please . ",0
1, I ' m just looking for a nice pillow on Ebay . ,0
8," Yes . If a tornado has been spotted , they announce a tornado warning.So if there's a tornado warning on , it means a tornado is out there somewhere . ",0
18, Yes . Actually my friend has a spare room in here apartment and she's looking for a flatmate . Would you like her phone number ? ,0
5," Yes , you can take the No . 5 bus over there . Get off at the next stop . ",0
1, It seems like a traffic accident . ,0
10, exactly . ,0
2, And the doctor told you to start listening to Bach ? ,0
8," OK , got it , but its shape is so strange . I don't like it . ",0
3," I am in charge of the trading department . I'm handling invoices , shipping bills and computing freight costs , that's most of the documentation . ",0
4, I ' Ve got her a birthday present and I ' ll take a bottle fo wine too . ,0
6," OK , I'll find it . ",0
9, Here we are . ,0
5, It could be as little as 2 dollars or as much as 10 dollars more per square yard . ,0
11, It's a lot better than soda . ,0
4," Yeah . It's of supreme importance that the goblet , table-cloth , and plates should be made shiningly clean , so that the color of the wine is clearly visible and the delicate aroma and taste are fully appreciable . ",0
3, Take my word for it . ,0
12," And , your first name ? ",0
4," OK.If you need anything , just call the Room service . ",0
5, One of my relatives told me that your company needs someone who can speak English . That's just the job that I have been looking for ,0
0,Hello miss . Can I see your ticket number ? ,0
7," Far more than that , I dare to say ! Inland provinces and cities , Hong Kong and Macao , as well as many countries and regions in the world have an exhibition area of their own to display their unique flowers and plants . Each month there's a special day for a particular country or region , and folk performances are given . You will feel it a great pity if you missile Kunming Expo . ",0
1," Ohm , hello , Marcia . I was ... ",0
1," Here you are.It ' s 90 yuan , miss . ",0
6, No problem . The temple is quite large . ,0
16, I'll prepare that . Do you prefer white rice or brown rice ? ,0
0,Is Bob home ? ,0
0,"Darling , I have news for you . Bobby and his wife , Evelyn , are going to have a baby soon . ",0
1," Sorry , he has just gone out now . Can I take a message for you ? ",0
2, I don ' t have access to a computer . ,0
2, I would like to try on one in violet . ,0
